"","bblid"
"5250",109194
"5252",109204
"5261",109235
"5268",109267
"5273",109295
"5289",109388
"5293",109413
"5296",109443
"5302",109469
"5304",109481
"5306",109488
"5309",109494
"5321",109539
"5341",109606
"5350",109646
"5362",109675
"5368",109717
"5372",109726
"5373",109729
"5374",109730
"5378",109735
"5385",109773
"5389",109780
"5396",109802
"5421",109935
"5424",109960
"5438",110023
"5441",110036
"5442",110039
"5444",110045
"5447",110056
"5452",110097
"5453",110100
"5464",110165
"5492",110235
"5546",110507
"5557",110531
"5567",110586
"5574",110629
"5586",110689
"5595",110724
"5596",110727
"5600",110742
"5607",110780
"5612",110800
"5622",110833
"5664",111113
"5676",111183
"5711",111346
"5712",111349
"5721",111401
"5730",111463
"5731",111475
"5732",111506
"5733",111520
"5761",111712
"5769",111766
"5770",111769
"5772",111789
"5779",111839
"5791",111869
"5804",111906
"5846",112121
"5847",112123
"5856",112160
"5871",112235
"5890",112299
"5892",112326
"5913",112429
"5931",112564
"5935",112580
"5960",112634
"5965",112658
"5972",112688
"5977",112709
"5987",112755
"5998",112793
"6021",112904
"6044",113011
"6047",113028
"6049",113034
"6065",113108
"6068",113113
"6074",113127
"6079",113137
"6081",113149
"6093",113204
"6110",113288
"6129",113387
"6211",113843
"6212",113853
"6333",114448
"6336",114466
"6361",114672
"6367",114708
"6368",114709
"6370",114713
"6386",114793
"6427",114978
"6452",115098
"6457",115127
"6458",115130
"6479",115253
"6486",115291
"6487",115294
"6512",115419
"6518",115475
"6543",115577
"6553",115630
"6561",115665
"6565",115676
"6566",115682
"6567",115686
"6579",115766
"6593",115816
"6611",115904
"6630",115984
"6636",116019
"6642",116048
"6643",116051
"6645",116063
"6658",116125
"6663",116141
"6680",116215
"6694",116268
"6705",116369
"6712",116391
"6732",116531
"6759",116657
"6784",116768
"6786",116774
"6788",116792
"6790",116798
"6804",116843
"6823",116958
"6826",116988
"6839",117045
"6851",117114
"6854",117132
"6870",117199
"6874",117211
"6885",117310
"6895",117373
"6904",117403
"6909",117427
"6922",117493
"6942",117613
"6944",117631
"6960",117733
"6993",118015
"7054",118393
"7060",118447
"7071",118522
"7091",118645
"7098",118705
"7118",118786
"7124",118813
"7141",118909
"7162",119017
"7178",119104
"7200",119287
"7203",119302
"7210",119344
"7218",119407
"7239",119605
"7242",119632
"7254",119725
"7278",119938
"7286",120004
"7298",120055
"7306",120100
"7310",120127
"7327",120217
"7346",120301
"7403",120651
"7430",120827
"7432",120832
"7433",120836
"7434",120838
"7460",120944
"7461",120948
"7462",120951
"7501",121086
"7509",121113
"7511",121121
"7525",121398
"7535",121452
"7540",121476
"7541",121479
"7548",121518
"7558",121581
"7582",122091
"7583",122094
"7584",122109
"7628",122340
"7636",122385
"7645",122435
"7651",122445
"7653",122451
"7669",122509
"7674",122528
"7684",122570
"7690",122597
"7702",122645
"7711",122702
"7719",122738
"7734",122816
"7740",122855
"7752",122897
"7772",124947
"7785",125028
"7789",125067
"7795",125106
"7817",125226
"7828",125274
"7831",125292
"7840",125343
"7861",125472
"7864",125493
"7868",125503
"7885",125541
"7904",126185
"7908",126203
"7939",126341
"8020",126735
"8033",126810
"8036",126819
"8051",126900
"8060",126945
"8068",126999
"8077",127038
"8087",127079
"8098",127122
"8177",127548
"8189",127620
"8218",127761
"8236",127866
"8415",129108
"8486",129477
"8499",129564
"8517",129681
"8522",129714
"8524",129720
"8557",129893
"8561",129926
"8573",130001
"8579",130034
"8594",130106
"8602",130151
"8608",130184
"8616",130235
"8631",130354
"8680",130615
"8699",130711
"8741",130914
"8748",130989
"8767",131088
"8789",131190
"8801",131248
"8802",131251
"8810",131285
"8827",131372
"8860",131603
"8864",131621
"8872",131657
"8881",131708
"8887",131765
"8897",131819
"8915",131936
